source_file,adapter_type,lr,rank,tr_from_name,tr_actual,accuracy,negative_shift_count,negative_shift_score,positive_shift_count,positive_shift_score,raw_adapter_name
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,5e-5,16.0,,32799,0.964136101710418,10976,10416.3,1430,1144.0,meta-llama_Llama-3.2-3B-Instruct_lora_trAll_lora_r16_lr5e-5
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,5e-5,1.0,,32799,0.8318515808408792,13194,12540.7,1205,959.8000000000001,meta-llama_Llama-3.2-3B-Instruct_lora_trAll_lora_r1_lr5e-5
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,5e-5,3.0,,32799,0.9361962254946797,12153,11554.9,1328,1061.8,meta-llama_Llama-3.2-3B-Instruct_lora_trAll_lora_r3_lr5e-5
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,5e-5,8.0,,32799,0.9576694411414982,11377,10794.3,1384,1109.0,meta-llama_Llama-3.2-3B-Instruct_lora_trAll_lora_r8_lr5e-5
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,1e-1,,,32799,0.019226195920607335,37117,35682.4,0,0.0,uiortholora_trAll_sv1024_svec0_lr1e-1
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,1e-2,,,32799,0.9713832738803012,15495,14798.100000000002,1126,896.6,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_s1024_v0_lr1e-2
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,1e-2,,,32799,0.9678099942071404,15794,15065.6,1089,866.5,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_s256_v0_lr1e-2
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,1e-2,,,32799,0.9707003262294583,15836,15124.4,1137,906.9000000000001,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_s512_v0_lr1e-2
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,1e-3,,,32799,0.46065733711393636,7686,7036.0,1385,1093.7000000000003,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_s256_v0_lr1e-3
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,1e-3,,,32799,0.4545565413579683,7671,7005.200000000001,1405,1105.6,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_s512_v0_lr1e-3
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,3e-1,,,32799,0.016576724900149397,37200,35907.0,0,0.0,uiortholora_trAll_sv1024_svec0_lr3e-1
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,3e-3,,,32799,0.8518369462483613,11262,10634.8,1318,1049.3000000000002,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_sv1024_svec0_lr3e-3
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,3e-3,,,32799,,0,0.0,0,0.0,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_sv1024_svec16_lr3e-3
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,4e-3,,,32799,0.8994331065759636,427,402.6,40,31.599999999999998,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_sv1024_svec0_lr4e-3
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,4e-3,,,32799,,0,0.0,0,0.0,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_sv1024_svec128_lr4e-3
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,4e-3,,,32799,,0,0.0,0,0.0,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_sv1280_svec0_lr4e-3
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,4e-3,,,32799,,0,0.0,0,0.0,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_sv1536_svec0_lr4e-3
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,4e-3,,,32799,,0,0.0,0,0.0,uiortholora_trAll_sv1024_svec0_lr4e-3
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,4e-3,,,32799,,0,0.0,0,0.0,uiortholora_trAll_sv1024_svec128_lr4e-3
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,5e-1,,,32799,,0,0.0,0,0.0,uiortholora_trAll_sv1024_svec0_lr5e-1
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,5e-3,,,32799,0.9351169242964725,12186,11577.7,1291,1030.7,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_s1024_v0_lr5e-3
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,5e-3,,,32799,0.9236013293088204,12456,11829.7,1262,1004.5000000000001,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_s256_v0_lr5e-3
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,5e-3,,,32799,,0,0.0,0,0.0,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_s256_v32_lr5e-3
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,5e-3,,,32799,0.9254093112594897,12381,11737.9,1273,1016.7,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_s512_v0_lr5e-3
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,5e-4,,,32799,0.2889356382816549,6941,6223.0,1237,969.2,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_s256_v0_lr5e-4
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,5e-4,,,32799,,0,0.0,0,0.0,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_s256_v32_lr5e-4
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,5e-4,,,32799,0.28522515930363734,7010,6288.700000000001,1244,970.9000000000001,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_s512_v0_lr5e-4
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,6e-3,,,32799,0.9485258696911492,12785,12158.5,1253,993.7,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_s1024_v0_lr6e-3
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,6e-3,,,32799,0.9429433824201957,13038,12383.600000000002,1241,989.7,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_s256_v0_lr6e-3
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,6e-3,,,32799,0.9419799384127565,13054,12402.3,1271,1011.3000000000001,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_s256_v32_lr6e-3
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,6e-3,,,32799,0.9464526357510898,12966,12319.9,1241,990.5,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_s512_v0_lr6e-3
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,6e-3,,,32799,,0,0.0,0,0.0,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_sv1024_svec0_lr6e-3
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,6e-3,,,32799,,0,0.0,0,0.0,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_sv1024_svec128_lr6e-3
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,6e-3,,,32799,,0,0.0,0,0.0,uiortholora_trAll_sv1024_svec0_lr6e-3
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,6e-3,,,32799,,0,0.0,0,0.0,uiortholora_trAll_sv1024_svec128_lr6e-3
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,7e-3,,,32799,0.9582914113235159,13259,12611.4,1244,990.8000000000002,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_s1024_v0_lr7e-3
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,7e-3,,,32799,0.9568767340467697,13622,12950.7,1224,975.0,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_s256_v0_lr7e-3
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,7e-3,,,32799,0.9564681850056405,13804,13117.7,1212,963.0,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_s256_v32_lr7e-3
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,7e-3,,,32799,0.9549193572974787,13839,13164.900000000001,1175,937.5000000000001,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_s512_v0_lr7e-3
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,7e-3,,,32799,,0,0.0,0,0.0,uiortholora_trAll_sv1024_svec0_lr7e-3
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,7e-3,,,32799,,0,0.0,0,0.0,uiortholora_trAll_sv1024_svec128_lr7e-3
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,8e-3,,,32799,0.961532363791579,14246,13570.2,1175,937.4000000000001,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_s1024_v0_lr8e-3
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,8e-3,,,32799,0.963279368273423,14386,13709.900000000001,1215,968.5000000000001,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_s256_v0_lr8e-3
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,8e-3,,,32799,0.9608219762797645,14370,13684.5,1150,918.5,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_s256_v32_lr8e-3
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,8e-3,,,32799,0.9634683984267813,14486,13802.099999999999,1176,938.7,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_s512_v0_lr8e-3
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,8e-3,,,32799,,0,0.0,0,0.0,uiortholora_trAll_sv1024_svec0_lr8e-3
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,8e-3,,,32799,,0,0.0,0,0.0,uiortholora_trAll_sv1024_svec128_lr8e-3
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,8e-4,,,32799,0.38706058111527786,7132,6473.2,1348,1060.2,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_s256_v0_lr8e-4
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,8e-4,,,32799,0.38392329034421785,7167,6499.9,1336,1051.5,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_s512_v0_lr8e-4
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,9e-3,,,32799,0.9689990548492332,14608,13925.800000000001,1129,897.9000000000001,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_s1024_v0_lr9e-3
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,9e-3,,,32799,0.9674166895332175,14983,14300.7,1154,917.5000000000001,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_s256_v0_lr9e-3
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,9e-3,,,32799,0.9658922528125857,15191,14494.3,1172,935.7,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_s512_v0_lr9e-3
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,9e-3,,,32799,,0,0.0,0,0.0,uiortholora_trAll_sv1024_svec0_lr9e-3
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,9e-3,,,32799,,0,0.0,0,0.0,uiortholora_trAll_sv1024_svec128_lr9e-3
meta-llama_Llama-3.2-3B-Instruct_scores-vera.jsonl,vera,1e-2,1024.0,,32799,0.8956096222445806,14347,13645.3,1159,917.9000000000001,vera_trAll_vera_r1024_lr1e-2
meta-llama_Llama-3.2-3B-Instruct_scores-vera.jsonl,vera,1e-3,1024.0,,32799,0.36489527119729265,7487,6801.700000000001,1308,1028.1000000000001,vera_trAll_vera_r1024_lr1e-3
meta-llama_Llama-3.2-3B-Instruct_scores-vera.jsonl,vera,1e-4,1024.0,,32799,0.18165492850391782,7795,6910.800000000001,906,699.2,vera_trAll_vera_r1024_lr1e-4
meta-llama_Llama-3.2-3B-Instruct_scores-vera.jsonl,vera,1e-5,1024.0,,32799,0.19521021982377515,5645,5008.8,1136,884.0000000000001,vera_trAll_vera_r1024_lr1e-5
meta-llama_Llama-3.2-3B-Instruct_scores-vera.jsonl,vera,5e-2,1024.0,,32799,0.8291777188328912,19050,18191.600000000002,829,656.6000000000001,vera_trAll_vera_r1024_lr5e-2
meta-llama_Llama-3.2-3B-Instruct_scores-vera.jsonl,vera,5e-3,1024.0,,32799,0.8034208360010975,12749,12075.099999999999,1179,941.4000000000001,vera_trAll_vera_r1024_lr5e-3
meta-llama_Llama-3.2-3B-Instruct_scores-vera.jsonl,vera,5e-4,1024.0,,32799,0.24955029116741362,7338,6562.900000000001,1123,876.1,vera_trAll_vera_r1024_lr5e-4
meta-llama_Llama-3.2-3B-Instruct_scores-vera.jsonl,vera,5e-5,1024.0,,32799,0.1777157840178054,7722,6848.4,896,693.4000000000001,vera_trAll_vera_r1024_lr5e-5
